Category ID,Category 
195018,Used Ultrasound Machine
195019,Used UPVC Doors
195020,Used UPVC Windows
195021,Used UV Coating Machine
195022,Used Vacuum Pumps
195023,Used Vending Machine
195029,Used Water Cooler
195030,Used Water Meters
195033,Used Well Pump
195034,Used Wheel Rim
195037,Used Window Air Conditioner
195040,Used Wooden Door
195041,Used Wooden Pallets
205345,Alto Used Cars
209199,Used Switchgear
214588,Used Die Casting Machines
214589,Used Rotogravure Printing Machine
214594,Second Hand Xerox Machines
214595,Second Hand Fly Ash Brick Making Machine
214596,Used Centerless Grinding Machines
214598,Used Paper Cup Making Machine
214600,Used Mini Offset Printing Machine
215028,Used Corrugator Machine
215029,Used Cotton Candy Machine
215854,Refurbished Spectrophotometer
215891,Used CNC Machine
215948,Used & Second Hand Backhoe Loader and Excavator
216547,Second Hand and Used Car Batteries
216549,Second Hand and Used Induction Motors
216553,Second Hand and Used Wooden Chair
216554,Second Hand and Used Wooden Furniture
216557,Second Hand and Used Spinning Machinery
216558,Second Hand and Used Textile Machines
216559,Second Hand and Used Computer Monitors
216560,Second Hand and Used CRT Monitor
216562,Second Hand Almirah
216563,Used Beds & Bedroom Furniture
216570,Second Hand and Used Packaging Boxes
216573,Second Hand and Used Window
216575,Used Chair
216576,Second Hand and Used Sofa
216577,Second Hand and Used Tractor
216589,Second Hand and Used Trolley
216590,Second Hand and Used Gearbox
216591,Second Hand and Used Furniture
216594,Second Hand and Used Filters
216596,Second Hand and Used Camera
216598,Second Hand and Used Bicycle
216599,Second Hand and Used Molding Machines
216600,Second Hand and Used Filling Machines
216601,Second Hand and Used School Book
216605,Second Hand and Used Boring Machine
216608,Second Hand and Used Welding Machine
217174,Used TATA Truck
217176,Used Eicher Trucks
217741,Second Hand and Used Saree
217870,Second Hand and Used Mini Truck
220911,Used Vertical Machining Centers
220961,Remoulded Truck Tyres
221073,Refurbished Keyboard
221074,Refurbished Tablets
221794,Refurbished Mobile Phones
222138,Refurbished Generator
222316,Used Motorcycle Tyres
222317,Used Car Tyres
222457,Used Bajaj Motor Bike
222458,Used TVS Motor Bike
222459,Used Yamaha Motor Bike
222849,Refurbished Patient & Surgical Monitor
222922,Used Jaw Crusher
223004,Used Tractor Tyres
230285,Refurbished MRI Scanner
235446,Refurbished CPU
235765,Refurbished X-Ray Machine
236824,Refurbished Computer Monitor
294334,Refurbished Lenovo Laptop
316377,Used Corrugated Box
360288,Refurbished Ventilator
365175,Refurbished Washing Machine
415429,Used Rapier Loom
442392,Refurbished Office Chair
442488,Refurbished Printers
444748,Used Conveyor Belt
444778,Used Bakery Machines
444876,Second Hand MCB
445326,Used Power Press
445327,Used Surface Grinding Machine
650307,Used Shearing Machine
650443,Refurbished CR Machine
650677,Refurbished Apple Laptop
652374,Renault Used Cars
652377,Skoda Used Cars
652386,BMW Used Cars
652398,Mercedes Used Cars
652425,Royal Enfield Used bikes
652436,Hero Used Bikes
652439,Bajaj Used Scooter
652442,TVS Used Scooter
652444,Audi Used Car
652445,Honda Used bikes
653317,Used Ashok Leyland Trucks
653810,Used Oppo Mobile
653812,Refurbished Apple iPhone
653920,HP Second hand Laptop
653921,Acer Second Hand Laptop
653922,Samsung Second Hand Laptop
654140,Used Samsung Mobile
654641,Used MS Drum
654940,Used Kirloskar Diesel Generator
655627,Used Hydra Crane
658708,Used Multifunction Printer
658794,Refurbished HP Laptop
658795,Refurbished HP Computer
658796,Old T Shirt
658798,Refurbished Dell Laptop
658799,Refurbished Dell Computer
658800,Old Jeans
658801,Used iPhone
658803,Refurbished Surgical Camera
658807,Mens Used Clothes
658810,Used Trailer
658812,Used Cummins Diesel Generator
658814,Used Silent Diesel Generator
658815,Used Caterpillar Generators
658817,Old Cotton Clothes
658818,Used Concrete Mixer
658820,Used Tanker
658821,Second Hand Mahindra Generator
658824,Refurbished Acer Laptop
658825,Refurbished Asus Laptop
658827,Used Two Wheeler
658834,Used Tipper Truck
658857,Refurbished Samsung Mobile
658858,Refurbished UPS
658860,Refurbished Hard Disk
658861,Used Concrete Machinery
658862,Refurbished Dell Server
658864,Used LG AC
658882,Used Nokia Mobile
658885,Vivo Second Hand Phone
658891,Used Tata Hitachi Excavator
658892,Used Komatsu Excavator
658918,Used Hydraulic Press Machine
658920,Refurbished Endoscopy Camera
659412,Old Teak Wood
659413,Old Stamp Paper
195043,Second Hand Wooden Table
659416,Used Car Spare Parts
659425,Refurbished GE CT Scan Machine
